ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12816689,2018 Jeep Compass Trailhawk (4X4 Low) M6 MY18,35999,Jeep,Compass,Trailhawk (4X4 Low),M6 MY18,2018,50491,Wagon,Automatic,Diesel, Used,1956,Black,5
12827944,2015 Holden Commodore SV6 Storm VF MY15,22500,Holden,Commodore,SV6 Storm,VF MY15,2015,102950,Sedan,Automatic,Unleaded Petrol, Used,3565,Nitrate,5
12694902,2006 Nissan Maxima ST-L J31,7990,Nissan,Maxima,ST-L,J31,2006,208818,Sedan,Automatic,Premium Unleaded Petrol, Used,3498,Silver,5
12698935,2016 Mercedes-Benz GLE250 D 166,57868,Mercedes-Benz,GLE250,D,166,2016,130813,Wagon,Automatic,Diesel, Used,2143,Black,5
12781163,2010 Mazda CX-9 Grand Touring 09 Upgrade,19877,Mazda,CX-9,Grand Touring,09 Upgrade,2010,146572,Wagon,Automatic,Unleaded Petrol, Used,3726,Blue,7
12815135,2004 BMW Z4 2.5I E85,32990,BMW,Z4,2.5I,E85,2004,24355,Roadster,Automatic,Premium Unleaded Petrol, Used,2494,Black,2
12720138,2019 Mitsubishi Triton GLS (4X4) Premium MR MY20,53888,Mitsubishi,Triton,GLS (4X4) Premium,MR MY20,2019,56180,Double Cab Pick Up,Automatic,Diesel, Used,2440,Grey,5
12837571,2017 Holden Colorado LS (4X4) RG MY17,39990,Holden,Colorado,LS (4X4),RG MY17,2017,100970,Crew Cab Chassis,Automatic,Diesel, Used,2776,White,5
12826333,2015 Holden Colorado LTZ (4X4) RG MY15,38990,Holden,Colorado,LTZ (4X4),RG MY15,2015,114377,Crew Cab Pickup,Manual,Diesel, Used,2776,Blue,5
12844347,2018 Isuzu D-MAX SX HI-Ride (4X2) TF MY18,29999,Isuzu,D-MAX,SX HI-Ride (4X2),TF MY18,2018,113661,Cab Chassis,Automatic,Diesel, Used,2999,White,2
12748273,2018 Subaru Impreza 2.0I-S (awd) MY18,25880,Subaru,Impreza,2.0I-S (awd),MY18,2018,56494,Hatchback,Automatic,Unleaded Petrol, Used,1995,Black,5
12760262,2015 Land Rover Range Rover Sport 3.0 SDV6 HSE Dynamic LW MY16,88800,Land Rover,Range Rover Sport,3.0 SDV6 HSE Dynamic,LW MY16,2015,59234,Wagon,Automatic,Diesel, Used,2993,Grey,5
12835179,2019 Subaru Forester 2.5I (awd) MY19,32990,Subaru,Forester,2.5I (awd),MY19,2019,58410,Wagon,Automatic,Unleaded Petrol, Used,2498,Silver,5
12821419,2015 Mazda 3 Maxx BM MY15,18990,Mazda,3,Maxx,BM MY15,2015,95484,Hatchback,Automatic,Unleaded Petrol, Used,1998,Black,5
12811405,2018 Audi Q7 3.0 TDI Quattro 4M MY18,71990,Audi,Q7,3.0 TDI Quattro,4M MY18,2018,112063,Wagon,Automatic,Diesel, Used,2967,White,7
12766570,2008 Toyota RAV4 CV (4X4) ACA33R,16990,Toyota,RAV4,CV (4X4),ACA33R,2008,78917,Wagon,Automatic,Unleaded Petrol, Used,2362,White,5
12794234,2018 Toyota Landcruiser GXL (4X4) VDJ76R,89999,Toyota,Landcruiser,GXL (4X4),VDJ76R,2018,52770,Wagon,Manual,Diesel, Used,4461,White,7
12823138,2005 Mazda 6 Classic GG,8888,Mazda,6,Classic,GG,2005,206990,Hatchback,Automatic,Premium Unleaded Petrol, Used,2261,Red,5
12769623,2009 Hyundai Elantra SX HD,8998,Hyundai,Elantra,SX,HD,2009,214211,Sedan,Automatic,Unleaded Petrol, Used,1975,White,5
12782475,2003 Ford Falcon XT BA,4990,Ford,Falcon,XT,BA,2003,251996,Sedan,Automatic,Unleaded Petrol, Used,3984,White,5
12716858,2014 Mercedes-Benz A180 BE 176,19999,Mercedes-Benz,A180,BE,176,2014,96176,Hatchback,Automatic,Premium Unleaded Petrol, Used,1595,Red,5
12814018,2015 Hyundai I30 Active GD4 Series 2,15500,Hyundai,I30,Active,GD4 Series 2,2015,136000,Hatchback,Automatic,Unleaded Petrol, Used,1797,White,5
12772948,2018 Hyundai I30 N Performance PDE.2,38998,Hyundai,I30,N Performance,PDE.2,2018,99624,Hatchback,Manual,Premium Unleaded Petrol, Used,1998,Grey,5
12794225,2017 Volkswagen Multivan Comfortline TDI340 T6 MY17.5,46990,Volkswagen,Multivan,Comfortline TDI340,T6 MY17.5,2017,115214,Wagon,Automatic,Diesel, Used,1968,Blue,7
12761039,2021 Toyota Corolla SX Mzea12R,38490,Toyota,Corolla,SX,Mzea12R,2021,3453,Hatchback,Automatic,Unleaded Petrol, Used,1987,White,5
12765490,2011 Ford Territory Titanium (rwd) SZ,15000,Ford,Territory,Titanium (rwd),SZ,2011,195000,Wagon,Automatic,Diesel, Used,2720,Grey,7
12851221,2002 Toyota Landcruiser Prado GXL (4X4) KZJ95R,20913,Toyota,Landcruiser Prado,GXL (4X4),KZJ95R,2002,203938,Wagon,Automatic,Diesel, Used,2982,White,8
12844508,2018 Volkswagen Tiguan 110 TSI Trendline 5NA MY18,33990,Volkswagen,Tiguan,110 TSI Trendline,5NA MY18,2018,63047,Wagon,Automatic,Premium Unleaded Petrol, Used,1395,Black,5
12788957,2009 Holden Captiva LX (4X4) CG MY09,7950,Holden,Captiva,LX (4X4),CG MY09,2009,175893,Wagon,Automatic,Diesel, Used,1991,Black,7
12705881,2016 Nissan Navara RX (4X4) NP300 D23,32500,Nissan,Navara,RX (4X4),NP300 D23,2016,144573,Double Cab Utility,Manual,Diesel, Used,2298,Polar,5
12846040,2019 Toyota Prius V Hybrid ZVW40R Upgrade,45989,Toyota,Prius V,Hybrid,ZVW40R Upgrade,2019,47145,Wagon,Automatic,Unleaded Petrol/Electric, Used,1798,White,7
12761043,2017 Ford Ranger XLT 3.2 HI-Rider (4X2) PX Mkii MY17,39990,Ford,Ranger,XLT 3.2 HI-Rider (4X2),PX Mkii MY17,2017,77332,Crew Cab Pickup,Automatic,Diesel, Used,3198,Black,5
12783176,2017 Mitsubishi Pajero GLS LWB (4X4) NX MY17,41990,Mitsubishi,Pajero,GLS LWB (4X4),NX MY17,2017,136014,Wagon,Automatic,Diesel, Used,3200,Silver,7
12846073,2022 Volkswagen Amarok TDI580 V6 Black Edtn 4Motion 2H MY22,69990,Volkswagen,Amarok,TDI580 V6 Black Edtn 4Motion,2H MY22,2022,10427,Dual Cab Utility,Automatic,Diesel, Used,2967,Blue,5
12747479,2006 Toyota Corolla Ascent Seca ZZE122R MY06,4695,Toyota,Corolla,Ascent Seca,ZZE122R MY06,2006,359345,Hatchback,Automatic,Unleaded Petrol, Used,1794,Black,5
12807357,2011 Subaru Liberty 2.5I Premium MY11,14990,Subaru,Liberty,2.5I Premium,MY11,2011,139315,Sedan,Automatic,Premium Unleaded Petrol, Used,2457,Grey,5
12824921,2020 Volkswagen Tiguan 162 TSI Highline 5NA MY20,57990,Volkswagen,Tiguan,162 TSI Highline,5NA MY20,2020,33810,Wagon,Automatic,Premium Unleaded Petrol, Used,1984,White,5
12724130,2017 Land Rover Discovery Sport TD4 180 HSE Luxury 5 Seat LC MY17,49999,Land Rover,Discovery Sport,TD4 180 HSE Luxury 5 Seat,LC MY17,2017,88966,Wagon,Automatic,Diesel, Used,1999,Black,5
12831500,2018 Volkswagen Tiguan Wolfsburg Edition 5NA MY19,46890,Volkswagen,Tiguan,Wolfsburg Edition,5NA MY19,2018,104514,Wagon,Automatic,Premium Unleaded Petrol, Used,1984,White,5
12784020,2016 Jaguar XE 25T Prestige MY17,45990,Jaguar,XE,25T Prestige,MY17,2016,44330,Sedan,Automatic,Premium Unleaded Petrol, Used,1999,Silver,5
12838413,2014 Jeep Cherokee Sport (4X2) KL MY15,19999,Jeep,Cherokee,Sport (4X2),KL MY15,2014,65120,Wagon,Automatic,Unleaded Petrol, Used,2360,Black,5
12779809,2021 Mazda 2 G15 Pure DJ,24999,Mazda,2,G15 Pure,DJ,2021,5700,Hatchback,Manual,Unleaded Petrol, Used,1496,White,5
12775443,2006 Mazda 6 MPS (leather) GG,12000,Mazda,6,MPS (leather),GG,2006,302000,Sedan,Manual,Premium Unleaded Petrol, Used,2261,White,5
12810881,2017 Mitsubishi Triton GLX Plus (4X4) MQ MY18,38888,Mitsubishi,Triton,GLX Plus (4X4),MQ MY18,2017,70668,Dual Cab Utility,Automatic,Diesel, Used,2440,White,5
12832551,2017 Hyundai Accent Sport RB6 MY18,16888,Hyundai,Accent,Sport,RB6 MY18,2017,86694,Hatchback,Automatic,Unleaded Petrol, Used,1591,Blue,5
12785457,2014 Ford Ranger XLT 3.2 (4X4) PX,27450,Ford,Ranger,XLT 3.2 (4X4),PX,2014,236596,Dual Cab Utility,Automatic,Diesel, Used,3198,Silver,5
12701492,2016 Audi Q3 1.4 Tfsi (110KW) 8U MY15,29777,Audi,Q3,1.4 Tfsi (110KW),8U MY15,2016,56959,Wagon,Automatic,Premium Unleaded Petrol, Used,1395,Black,5
12806078,2017 Subaru Liberty 3.6R MY16,30690,Subaru,Liberty,3.6R,MY16,2017,89154,Sedan,Automatic,Premium Unleaded Petrol, Used,3630,Silver,5
12781432,2020 Isuzu MU-X LS-U (4X4) UC MY19,56830,Isuzu,MU-X,LS-U (4X4),UC MY19,2020,36250,Wagon,Automatic,Diesel, Used,2999,Grey,7
12814579,2012 Holden Commodore Omega (lpg) VE II MY12,17888,Holden,Commodore,Omega (lpg),VE II MY12,2012,186000,Utility,Automatic,Liquid Petroleum Gas, Used,3565,White,2
12769593,2015 Hyundai IX35 SE (fwd) LM Series II,18990,Hyundai,IX35,SE (fwd),LM Series II,2015,178999,Wagon,Automatic,Unleaded Petrol, Used,1999,Red,5
12741960,2013 Holden Barina CDX TM MY13,10495,Holden,Barina,CDX,TM MY13,2013,153364,Hatchback,Automatic,Unleaded Petrol, Used,1598,Black,5
12820462,2011 Toyota Corolla Ascent ZRE152R MY11,14995,Toyota,Corolla,Ascent,ZRE152R MY11,2011,139245,Sedan,Automatic,Unleaded Petrol, Used,1798,White,5
12847067,2021 Toyota Kluger Grande Hybrid AWD Axuh78R,86990,Toyota,Kluger,Grande Hybrid AWD,Axuh78R,2021,26669,Wagon,Automatic,Premium Unleaded/Electric, Used,2487,Grey,7
12791921,2014 Hyundai I30 Trophy GD MY14,16888,Hyundai,I30,Trophy,GD MY14,2014,114464,Hatchback,Automatic,Unleaded Petrol, Used,1797,Silver,5
12787695,2019 Hyundai Santa FE Highlander Crdi Satin AWD TM,49990,Hyundai,Santa FE,Highlander Crdi Satin AWD,TM,2019,84509,Wagon,Automatic,Diesel, Used,2199,Grey,7
12797319,2014 Toyota Hilux SR5 (4X4) KUN26R MY14,39990,Toyota,Hilux,SR5 (4X4),KUN26R MY14,2014,178885,Dual Cab Pick-up,Manual,Diesel, Used,2982,White,5
12747520,2016 Ford Mustang Fastback GT 5.0 V8 FM MY17,54413,Ford,Mustang,Fastback GT 5.0 V8,FM MY17,2016,47277,Coupe,Manual,Premium Unleaded Petrol, Used,4950,Yellow,4
12836821,2020 Subaru XV 2.0I MY20,33990,Subaru,XV,2.0I,MY20,2020,46546,Wagon,Automatic,Unleaded Petrol, Used,1995,Orange,5
