ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12715170,2022 Audi A6 55 Tfsi Quattro S Line Mhev 4A MY22,124850,Audi,A6,55 Tfsi Quattro S Line Mhev,4A MY22,2022,5800,Sedan,Automatic,Premium Unleaded/Electric, Demo,2995,Silver,5
12715188,2019 Toyota Landcruiser LC200 VX (4X4) VDJ200R,119990,Toyota,Landcruiser,LC200 VX (4X4),VDJ200R,2019,75170,Wagon,Automatic,Diesel, Used,4461,Grey,7
12716254,2018 Mercedes-Benz GLS350 D 4Matic X166 MY17,96800,Mercedes-Benz,GLS350,D 4Matic,X166 MY17,2018,72000,Wagon,Automatic,Diesel, Used,2987,White,7
12716719,2022 Volvo XC60 B5 Inscription Mhev 246 MY22,99990,Volvo,XC60,B5 Inscription Mhev,246 MY22,2022,1592,Wagon,Automatic,Premium Unleaded/Electric, Demo,1969,White,5
12717124,2019 Ram 1500 Laramie (4X4) FD3.2 W/Ramboxes MY19,124990,Ram,1500,Laramie (4X4) FD3.2 W/Ramboxes,MY19,2019,14192,Crew Cab Utility,Automatic,Unleaded Petrol, Used,5654,Blue,5
12717334,2022 Volkswagen Touareg 170TDI CR MY22,113840,Volkswagen,Touareg,170TDI,CR MY22,2022,8,Wagon,Automatic,Diesel, New In Stock,2967,White,5
12717336,2022 Volkswagen Touareg 170TDI CR MY22,102855,Volkswagen,Touareg,170TDI,CR MY22,2022,10,Wagon,Automatic,Diesel, New In Stock,2967,White,5
12718579,2021 BMW M3 Competition G80,165000,BMW,M3,Competition,G80,2021,11628,Sedan,Automatic,Premium Unleaded Petrol, Used,2993,White,5
12719257,2018 Land Rover Range Rover Sport SDV6 HSE LW MY18,129980,Land Rover,Range Rover Sport,SDV6 HSE,LW MY18,2018,87850,Wagon,Automatic,Diesel, Used,2993,White,5
12719412,2006 Bentley Continental GT 3W,129990,Bentley,Continental,GT,3W,2006,139494,Coupe,Automatic,Premium Unleaded Petrol, Used,5998,Blue,4
12720131,2020 Audi Q8 55 Tfsi Quattro Mhev 4M MY21,118980,Audi,Q8,55 Tfsi Quattro Mhev,4M MY21,2020,42305,Wagon,Automatic,Premium Unleaded/Electric, Used,2995,White,5
12720607,2016 Audi R8 5.2 FSI Quattro MY15,299990,Audi,R8,5.2 FSI Quattro,MY15,2016,20647,Coupe,Automatic,Premium Unleaded Petrol, Used,5204,Grey,2
12720901,2022 Volkswagen Touareg 210TDI R-Line CR MY22,142990,Volkswagen,Touareg,210TDI R-Line,CR MY22,2022,5,Wagon,Automatic,Diesel, New In Stock,2967,Grey,5
12721981,2020 Toyota Landcruiser GXL (4X4) VDJ79R,104987,Toyota,Landcruiser,GXL (4X4),VDJ79R,2020,122213,Double Cab Chassis,Manual,Diesel, Used,4461,Grey,5
12722610,2022 Audi RS Q3 2.5 Tfsi Quattro F3 MY22,129888,Audi,RS Q3,2.5 Tfsi Quattro,F3 MY22,2022,100,Sportback,Automatic,Premium Unleaded Petrol, Used,2480,Grey,5
12723795,2020 Land Rover Range Rover Sport SDV6 SE (183KW) L494 MY20.5,154888,Land Rover,Range Rover Sport,SDV6 SE (183KW),L494 MY20.5,2020,35088,Wagon,Automatic,Diesel, Used,2993,Black,5
12723983,2014 Toyota Landcruiser Altitude (4X4) VDJ200R,105241,Toyota,Landcruiser,Altitude (4X4),VDJ200R,2014,133980,Wagon,Automatic,Diesel, Used,4461,White,8
12724363,2022 Mercedes-Benz GLE63 S 4Matic+ (hybrid) V167 MY22,234999,Mercedes-Benz,GLE63,S 4Matic+ (hybrid),V167 MY22,2022,12303,Wagon,Automatic,Premium Unleaded/Electric, Used,3982,Grey,5
12725289,2018 Toyota Landcruiser VX (4X4) VDJ200R MY16,103887,Toyota,Landcruiser,VX (4X4),VDJ200R MY16,2018,107489,Wagon,Automatic,Diesel, Used,4461,White,7
12726651,2020 Porsche Macan Turbo 95B MY20,145900,Porsche,Macan,Turbo,95B MY20,2020,9056,Wagon,Automatic,Premium Unleaded Petrol, Used,2894,White,5
12726889,2018 Mercedes-Benz GLS63 4Matic X166 MY18,155000,Mercedes-Benz,GLS63,4Matic,X166 MY18,2018,50535,Wagon,Automatic,Premium Unleaded Petrol, Used,5461,Black,7
12727077,2021 Audi A6 45 Tfsi Quattro S Line Mhev 4A MY21A,109880,Audi,A6,45 Tfsi Quattro S Line Mhev,4A MY21A,2021,7764,Sedan,Automatic,Premium Unleaded/Electric, Used,1984,Grey,5
12728716,2022 Toyota Landcruiser 70 Series GXL VDJ76R,112888,Toyota,Landcruiser 70 Series,GXL,VDJ76R,2022,118,Wagon,Manual,Diesel, Used,4461,White,5
12728786,2019 BMW X5 Xdrive 30D M Sport (5 Seat) G05 MY19,99800,BMW,X5,Xdrive 30D M Sport (5 Seat),G05 MY19,2019,51016,Wagon,Automatic,Diesel, Used,2993,White,5
12728891,2018 Mercedes-Benz S63 L 222 MY18,269800,Mercedes-Benz,S63,L,222 MY18,2018,43604,Saloon,Automatic,Premium Unleaded Petrol, Used,3982,Grey,5
12728925,2013 Porsche Boxster S 981 MY13,99990,Porsche,Boxster,S,981 MY13,2013,87114,Roadster,Manual,Premium Unleaded Petrol, Used,3436,Grey,2
12729101,2021 Mercedes-Benz GLC 300 4Matic C253 MY21,107990,Mercedes-Benz,GLC,300 4Matic,C253 MY21,2021,28079,Coupe,Automatic,Premium Unleaded Petrol, Used,1991,Grey,5
